"","Molecule.Name","sd_peak","LOD","LOQ"
"1","B1",0.293791951290514,0.881375853871541,1.46895975645257
"2","B12-Ado",0.0030581518367665,0.00917445551029951,0.0152907591838325
"3","B12-CN",0.0171968102835341,0.0515904308506024,0.0859840514176707
"4","B12-Me",0.00124583166364635,0.00373749499093905,0.00622915831823174
"5","B12-OH",0.0557983639772675,0.167395091931803,0.278991819886338
"6","B2",0.00218312952520756,0.00654938857562268,0.0109156476260378
"7","B3",21330.8854949812,63992.6564849436,106654.427474906
"8","B5",809114.876724766,2427344.6301743,4045574.38362383
"9","B6",68436.7109988005,205310.132996401,342183.554994002
"10","B7",8087.11611144541,24261.3483343362,40435.5805572271
"11","B9",586.423339690137,1759.27001907041,2932.11669845068
"12","DMB",6826.7248614056,20480.1745842168,34133.624307028
"13","DMSP",117376.322707492,352128.968122476,586881.613537461
"14","FAMP",18101.4864122628,54304.4592367883,90507.4320613138
"15","GBT",6.09242177102477,18.2772653130743,30.4621088551239
"16","HET",5599.14326779851,16797.4298033955,27995.7163389925
"17","HMP",93881.3452041103,281644.035612331,469406.726020552
"18","Homarine",33.1498236306234,99.4494708918703,165.749118153117
"19","IAA",9751.81113093016,29255.4333927905,48759.0556546508
"20","Methionine",1.54711754846031,4.64135264538092,7.73558774230153
"21","Proline",31.6687842039352,95.0063526118057,158.343921019676
"22","SAH",1017.86590472419,3053.59771417258,5089.32952362097
"23","SAM",5490.10227591436,16470.3068277431,27450.5113795718
"24","TMP",780.574361181133,2341.7230835434,3902.87180590566
"25","cHET",6601.8966214263,19805.6898642789,33009.4831071315
